avr_ref_time,avr_tref,dof,Ktest,N_0,N0,M,lam
0.24,4.72,4.7082464951094884,0.03965229885421934,1000,600,20,0.01
0.3,16.74,16.49512918872057,0.04788368649350694,1000,600,20,0.0001
0.34,30.5,29.736071517591135,0.06966464514247994,1000,600,20,1e-06
0.44,34.93,34.23830937401145,0.08343920357375423,1000,600,20,1e-08
0.67,35.03,34.450976792040876,0.08455200538208862,1000,600,20,1e-10
0.25,4.75,4.781977176931438,0.03629648775055325,1000,600,50,0.01
0.26,17.42,17.16234102020973,0.04885995052337533,1000,600,50,0.0001
0.29,35.31,34.972031538926785,0.0567418865212011,1000,600,50,1e-06
0.59,53.29,52.675546175757795,0.067753368830297,1000,600,50,1e-08
0.74,66.21,66.18663743175169,0.06949788904784963,1000,600,50,1e-10
0.25,4.75,4.769488912835519,0.0372508127824078,1000,600,100,0.01
0.24,17.58,17.350226051849106,0.04390976742701752,1000,600,100,0.0001
0.28,35.88,35.40674934204184,0.060511852165850755,1000,600,100,1e-06
0.51,56.03,55.25879744512689,0.055649899639443556,1000,600,100,1e-08
0.76,73.35,72.61460883542972,0.058033907091444126,1000,600,100,1e-10
0.2,4.76,4.7813325297221265,0.0379281851869511,1000,600,300,0.01
0.22,17.75,17.523946938638435,0.04940137265079342,1000,600,300,0.0001
0.27,36.28,35.88728591194388,0.05683734925887296,1000,600,300,1e-06
0.46,57.22,56.49057484731743,0.05841750325005121,1000,600,300,1e-08
0.85,77.81,77.3009803677273,0.05154872317136808,1000,600,300,1e-10
