avr_ref_time,avr_data_time,avr_tref,dof,Ktest,z_chi2,N_0,N0,NS,M,lam,ratio
0.54,0.64,39.97,39.689429031030286,0.03283019199764492,1.72,1500,400,7,300,1e-08,0.016666666666666666
0.49,0.7,47.98,47.59734930837194,0.04020429125892444,2.07,1500,600,10,300,1e-08,0.016666666666666666
0.5,0.73,54.96,54.61349031790737,0.04370377329794406,2.36,1500,800,13,300,1e-08,0.016666666666666666
0.51,0.76,58.49,58.02145208133949,0.044521278805483844,2.63,1500,900,15,300,1e-08,0.016666666666666666
0.52,0.79,61.85,61.21281705708899,0.04981870156076065,2.87,1500,1000,17,300,1e-08,0.016666666666666666
0.54,0.81,68.63,68.07385203320297,0.045132466863570905,3.16,1500,1200,20,300,1e-08,0.016666666666666666
0.46,0.54,39.97,39.689429031030286,0.03283019199764492,0.79,1500,400,3,300,1e-08,0.008333333333333333
0.49,0.63,47.98,47.59734930837194,0.04020429125892444,1.11,1500,600,5,300,1e-08,0.008333333333333333
0.5,0.65,54.96,54.61349031790737,0.04370377329794406,1.27,1500,800,7,300,1e-08,0.008333333333333333
0.51,0.7,61.85,61.21281705708899,0.04981870156076065,1.52,1500,1000,8,300,1e-08,0.008333333333333333
0.53,0.78,68.63,68.07385203320297,0.045132466863570905,1.58,1500,1200,10,300,1e-08,0.008333333333333333
0.48,0.68,39.97,39.689429031030286,0.03283019199764492,2.25,1500,400,10,300,1e-08,0.025
0.49,0.76,47.98,47.59734930837194,0.04020429125892444,3.15,1500,600,15,300,1e-08,0.025
0.5,0.78,54.96,54.61349031790737,0.04370377329794406,3.67,1500,800,20,300,1e-08,0.025
0.51,0.84,61.85,61.21281705708899,0.04981870156076065,4.16,1500,1000,25,300,1e-08,0.025
0.53,0.88,68.63,68.07385203320297,0.045132466863570905,4.78,1500,1200,30,300,1e-08,0.025
