avr_ref_time,avr_data_time,avr_tref,dof,Ktest,z_chi2,N_0,N0,M,lam,ratio
0.53,0.66,56.6,55.7037238137482,0.06431947104097782,2.75,1000,600,150,1e-08,0.025
0.48,0.63,47.37,46.98062741398204,0.03814983940737893,2.91,1500,600,150,1e-08,0.025
0.47,0.62,42.09,41.818501115917094,0.03530249875392344,2.69,2000,600,150,1e-08,0.025
0.46,0.6,37.34,37.64584605139587,0.030217079215993814,2.64,3000,600,150,1e-08,0.025
0.49,0.62,56.6,55.7037238137482,0.06431947104097782,1.72,1000,600,150,1e-08,0.016666666666666666
0.49,0.61,47.37,46.98062741398204,0.03814983940737893,1.93,1500,600,150,1e-08,0.016666666666666666
0.47,0.57,42.09,41.818501115917094,0.03530249875392344,1.85,2000,600,150,1e-08,0.016666666666666666
0.46,0.57,37.34,37.64584605139587,0.030217079215993814,1.83,3000,600,150,1e-08,0.016666666666666666
0.47,0.57,56.6,55.7037238137482,0.06431947104097782,0.81,1000,600,150,1e-08,0.008333333333333333
0.48,0.53,47.37,46.98062741398204,0.03814983940737893,1.03,1500,600,150,1e-08,0.008333333333333333
0.47,0.58,42.09,41.818501115917094,0.03530249875392344,1.0,2000,600,150,1e-08,0.008333333333333333
0.53,0.57,37.34,37.64584605139587,0.030217079215993814,0.86,3000,600,150,1e-08,0.008333333333333333
