avr_ref_time,avr_data_time,avr_tref,dof,Ktest,z_chi2,N_0,N0,M,lam,ratio
0.53,0.82,66.97,66.86403618656294,0.0654684569842525,2.36,1000,800,300,1e-08,0.01875
0.53,0.81,54.96,54.61233100108706,0.04409058437086388,2.71,1500,800,300,1e-08,0.01875
0.55,0.81,48.41,48.18630536684792,0.05852477978543208,2.65,2000,800,300,1e-08,0.01875
0.54,0.77,42.95,43.092169133014195,0.03703397263603875,2.71,3000,800,300,1e-08,0.01875
0.51,0.71,66.97,66.86403618656294,0.0654684569842525,1.6,1000,800,300,1e-08,0.0125
0.53,0.78,54.96,54.61233100108706,0.04409058437086388,1.8,1500,800,300,1e-08,0.0125
0.55,0.76,48.41,48.18630536684792,0.05852477978543208,1.83,2000,800,300,1e-08,0.0125
0.54,0.7,42.95,43.092169133014195,0.03703397263603875,1.76,3000,800,300,1e-08,0.0125
0.51,0.65,66.97,66.86403618656294,0.0654684569842525,0.73,1000,800,300,1e-08,0.00625
0.53,0.66,54.96,54.61233100108706,0.04409058437086388,1.06,1500,800,300,1e-08,0.00625
0.55,0.63,48.41,48.18630536684792,0.05852477978543208,0.97,2000,800,300,1e-08,0.00625
0.55,0.68,42.95,43.092169133014195,0.03703397263603875,0.8,3000,800,300,1e-08,0.00625
