md_tref,md_tdata,max_zemp,zemp,dof,z_chi2,N_0,N0,M,NS
9.78,19.17,1.83,1.83,10.279796851995542,1.71,20000,1000,800,100
9.78,107.6,2.13,2.13,10.279796851995542,inf,20000,1000,800,500
11.13,24.16,2.29,1.7,11.525841176860682,2.16,20000,5000,800,100
11.4,42.04,2.39,2.39,12.103694260584211,3.98,20000,5000,800,500
11.58,25.8,2.47,1.55,12.580420181536699,2.17,20000,5000,1500,100
11.69,37.63,2.54,2.54,12.786955060165328,3.44,20000,5000,1500,500
12.29,27.46,2.59,1.83,13.192731307389495,2.27,20000,10000,800,100
12.52,30.77,2.64,2.13,13.615086640870713,2.58,20000,10000,800,500
13.33,27.46,2.68,1.66,13.93187052439643,2.14,20000,10000,1500,100
13.55,30.37,2.71,1.75,14.149312305977588,2.44,20000,10000,1500,500
12.7,28.48,2.74,1.66,13.596790897508455,2.32,50000,1000,800,100
12.23,31.05,2.77,2.01,13.23063317399189,2.68,50000,1000,800,500
11.92,28.95,2.8,1.87,13.023077354047233,2.47,50000,5000,800,100
11.7,31.26,2.82,2.07,12.804009637141887,2.77,50000,5000,800,500
11.64,28.95,2.84,1.93,12.638321885617692,2.54,50000,5000,1500,100
11.54,31.47,2.87,2.13,12.544567022599761,2.84,50000,5000,1500,500
11.55,28.95,2.88,1.99,12.450808415593887,2.57,50000,10000,800,100
11.66,30.3,2.9,2.01,12.462405336171361,2.72,50000,10000,800,500
11.69,27.3,2.92,1.75,12.387421333605623,2.39,50000,10000,1500,100
11.72,29.42,2.94,2.05,12.420991128681376,2.63,50000,10000,1500,500
